vm_count,benchmark,n_tasks,algorithm,TCR,ART
4,Random,1000,DDQN-TS,0.543,4.861526417575363
4,Random,1000,DQN,0.766,2.962157028179811
4,Random,1000,Random,0.8,1.5901587496262741
4,Random,1000,Round-Robin,0.84,1.3214360202879905
4,Random,2000,DDQN-TS,0.523,5.084154057434436
4,Random,2000,DQN,0.778,2.9029947882448597
4,Random,2000,Random,0.7965,1.5033531645421876
4,Random,2000,Round-Robin,0.833,1.3233903079332954
4,Random,4000,DDQN-TS,0.51525,5.0907500635327665
4,Random,4000,DQN,0.797,2.750471939677775
4,Random,4000,Random,0.798,1.5293769523013572
4,Random,4000,Round-Robin,0.82875,1.3182367910515314
4,Random,8000,DDQN-TS,0.512,5.066579004256741
4,Random,8000,DQN,0.8145,2.512957013907222
4,Random,8000,Random,0.7955,1.5407314179221565
4,Random,8000,Round-Robin,0.831375,1.3011323597933047
4,Google,1000,DDQN-TS,0.929,0.5672198763024969
4,Google,1000,DQN,0.959,0.4509168065661981
4,Google,1000,Random,0.866,0.7531364371639747
4,Google,1000,Round-Robin,0.879,0.8468876315456446
4,Google,2000,DDQN-TS,0.945,0.5151819890654095
4,Google,2000,DQN,0.978,0.3581040141453411
4,Google,2000,Random,0.857,0.712697217520738
4,Google,2000,Round-Robin,0.8845,0.7926762240178093
4,Google,4000,DDQN-TS,0.944,0.5104138078151165
4,Google,4000,DQN,0.98375,0.35223792811592264
4,Google,4000,Random,0.85575,0.733077140154906
4,Google,4000,Round-Robin,0.89725,0.7672095782240337
4,Google,8000,DDQN-TS,0.936125,0.5370427400491833
4,Google,8000,DQN,0.97825,0.3618717706291851
4,Google,8000,Random,0.85025,0.7368601378788023
4,Google,8000,Round-Robin,0.88925,0.7849436397882744
4,Alibaba,1000,DDQN-TS,0.836,0.7544794390138575
4,Alibaba,1000,DQN,0.941,0.5130663807821054
4,Alibaba,1000,Random,0.823,0.8511820265508467
4,Alibaba,1000,Round-Robin,0.866,0.8528144291804683
4,Alibaba,2000,DDQN-TS,0.809,0.8168436262331793
4,Alibaba,2000,DQN,0.927,0.5250303218357644
4,Alibaba,2000,Random,0.8045,0.9200145062882019
4,Alibaba,2000,Round-Robin,0.858,0.8640943381978308
4,Alibaba,4000,DDQN-TS,0.7885,0.8843210704021942
4,Alibaba,4000,DQN,0.92225,0.5346925172753846
4,Alibaba,4000,Random,0.806,0.9342606998834357
4,Alibaba,4000,Round-Robin,0.857,0.8826294975549255
4,Alibaba,8000,DDQN-TS,0.814625,0.8073265027090667
4,Alibaba,8000,DQN,0.94025,0.49331117658610923
4,Alibaba,8000,Random,0.812875,0.8783471793183772
4,Alibaba,8000,Round-Robin,0.864125,0.8594274765966805
8,Random,8000,DDQN-TS,0.580875,4.282372282060138
8,Random,8000,DQN,0.315875,6.212627946448323
8,Random,8000,Random,0.913625,1.3984135603888967
8,Random,8000,Round-Robin,0.941625,1.304558821742895
8,Google,8000,DDQN-TS,0.94775,0.5011250057698612
8,Google,8000,DQN,0.739875,1.0334274591987194
8,Google,8000,Random,0.943125,0.6766951663318985
8,Google,8000,Round-Robin,0.97575,0.7067517726704342
8,Alibaba,8000,DDQN-TS,0.8475,0.730598116410009
8,Alibaba,8000,DQN,0.48375,1.9938407728542853
8,Alibaba,8000,Random,0.923875,0.8110665705411937
8,Alibaba,8000,Round-Robin,0.96475,0.7940279658495305
