algo,weight_combo,w1,w2,w3,mean_reward,mean_throughput,mean_latency,mean_energy
DQN,balanced,0.5,0.3,0.2,144.65056342044895,1.951,4275.080495308318,631.7984304115519
PPO,balanced,0.5,0.3,0.2,147.83323210480538,1.959,3829.2616490483315,633.286797001357
DQN,throughput_priority,0.7,0.2,0.1,353.606657652403,1.9425000000000001,5428.90635641353,630.6331507658284
PPO,throughput_priority,0.7,0.2,0.1,361.6605084278073,1.9545,4058.4953046467645,632.3665310608167
DQN,latency_priority,0.2,0.6,0.2,-99.6917323455968,1.9265,6391.037983373348,626.8989148176748
PPO,latency_priority,0.2,0.6,0.2,-137.1444356725457,1.841,9561.433590071867,617.5108488875248
DQN,energy_priority,0.2,0.2,0.6,-340.9848117526593,1.7890000000000001,11106.353124724421,607.8796996268808
PPO,energy_priority,0.2,0.2,0.6,-340.5419168332893,1.7195,12849.392994794527,601.8555057603891
DQN,equal,0.33,0.33,0.34,-92.28069915504231,1.8865000000000003,7446.601953517995,620.9659937604325
PPO,equal,0.33,0.33,0.34,-76.41797791451532,1.9454999999999998,4199.166717471479,631.3648331581206
