algo,weight_combo,w1,w2,w3,mean_reward,mean_throughput,mean_latency,mean_energy
DQN,balanced,0.5,0.3,0.2,95.38155879117748,1.959,3784.617698718551,1033.4322050495332
PPO,balanced,0.5,0.3,0.2,96.41411493451274,1.9604999999999997,3621.634885721863,1033.718227253468
DQN,throughput_priority,0.7,0.2,0.1,219.61569016726247,1.956,3848.3637825023266,1032.985128216369
PPO,throughput_priority,0.7,0.2,0.1,221.32067693592185,1.9624999999999997,3612.037242580952,1033.8870445625257
DQN,latency_priority,0.2,0.6,0.2,-58.44707524711564,1.9460000000000002,4944.863266139861,1030.8461481603122
PPO,latency_priority,0.2,0.6,0.2,-42.83957534859325,1.9614999999999998,3612.0254234263316,1033.8658108024315
DQN,energy_priority,0.2,0.2,0.6,-172.5195216433765,1.888,6539.297750673961,1021.8823306406806
PPO,energy_priority,0.2,0.2,0.6,-169.7816462007111,1.9609999999999999,3664.200718214533,1033.564843327853
DQN,equal,0.33,0.33,0.34,-31.672859177592734,1.9539999999999995,4392.806483259173,1032.313534802498
PPO,equal,0.33,0.33,0.34,-26.91242322354147,1.9629999999999999,3614.6165204270264,1034.0246250389232
